park_id,park_name,borough,category,medium_vegetation_pixel_count,medium_vegetation_total_area_m2,geometry_area_m2,processing_id,shape_id,point_name,point_id,unique_id,fid,source_id,feature_co,sub_featur,name,status,shape_area,shape_len,fid_2,acquisitio,acres,address,class,communityb,councildis,department,eapply,gisobjid,gispropnum,globalid,jurisdicti,location,mapped,name311,nys_assemb,nys_senate,objectid,omppropid,parentid,permit,permitdist,permitpare,pip_ratabl,precinct,retired,signname,subcategor,typecatego,url,us_congres,waterfront,zipcode,GIS_LOC_ID,UNIT_CODE,GROUP_CODE,UNIT_NAME,UNIT_TYPE,META_MIDF,LANDS_CODE,DATE_EDIT,GIS_NOTES,fid_3,UID,Name_2,Category,Label,Descriptio,Region,County,Source,Original,Updated,Acreage,Total_acre,MID,MasterArea,WebAreaID,created_us,created_da,last_edite,last_edi_1,GlobalID_2,boro_name
60.0,Reformed Church on Staten Island Cemetery,Staten Island,medium_vegetation,3834,319.5,25975.684598046217,60.0_medium_vegetation_Staten Island,81.0,81.0,81.0,60.0,40.0,16250000020.0,2500.0,250000.0,Reformed Church on Staten Island Cemetery,Unchanged,25975.6975699,980.669743456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
61.0,St. Mary's of the Assumption Church Cemetery,Staten Island,medium_vegetation,7637,636.4166666666666,39069.250149265696,61.0_medium_vegetation_Staten Island,82.0,82.0,82.0,61.0,41.0,16250000022.0,2500.0,250000.0,St. Mary's of the Assumption Church Cemetery,Unchanged,39526.6835271,783.556928454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
62.0,Baron Hirsch Cemetery,Staten Island,medium_vegetation,700794,58399.5,2585254.4678652687,62.0_medium_vegetation_Staten Island,83.0,83.0,83.0,62.0,42.0,16250000030.000002,2500.0,250000.0,Baron Hirsch Cemetery,Unchanged,2585257.25427,9117.44653852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
63.0,Sailors Snug Harbor Cemetery,Staten Island,medium_vegetation,41624,3468.6666666666665,273087.6885020067,63.0_medium_vegetation_Staten Island,84.0,84.0,84.0,63.0,43.0,16250000190.0,2500.0,250000.0,Sailors Snug Harbor Cemetery,Unchanged,274047.393352,2499.99411305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
64.0,Lake Cemetery,Staten Island,medium_vegetation,16585,1382.0833333333333,93287.55186722794,64.0_medium_vegetation_Staten Island,85.0,85.0,85.0,64.0,44.0,16250001057.0,2500.0,250000.0,Lake Cemetery,Unchanged,93833.4150885,1522.77169278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
65.0,St. Luke's Cemetery,Staten Island,medium_vegetation,15558,1296.5,61759.69179278061,65.0_medium_vegetation_Staten Island,86.0,86.0,86.0,65.0,45.0,17250000002.0,2500.0,250000.0,St. Luke's Cemetery,Unchanged,61759.876124,1050.40103484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
66.0,Resurrection Cemetery,Staten Island,medium_vegetation,7019,584.9166666666666,48986.07630847219,66.0_medium_vegetation_Staten Island,87.0,87.0,87.0,66.0,46.0,17250000022.0,2500.0,250000.0,Resurrection Cemetery,Unchanged,48986.2447654,902.533280368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
67.0,Resurrection Cemetery,Staten Island,medium_vegetation,156515,13042.916666666666,1011317.5554803107,67.0_medium_vegetation_Staten Island,88.0,88.0,88.0,67.0,47.0,17250000008.0,2500.0,250000.0,Resurrection Cemetery,Updated,1011320.88288,4655.14855238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
68.0,West Baptist Cemetery,Staten Island,medium_vegetation,5376,448.0,28494.301284908706,68.0_medium_vegetation_Staten Island,89.0,89.0,89.0,68.0,48.0,17250000010.0,2500.0,250000.0,West Baptist Cemetery,Unchanged,28494.3994655,677.23368648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
69.0,St. Andrew's Church Cemetery,Staten Island,medium_vegetation,8785,732.0833333333333,76523.24188310686,69.0_medium_vegetation_Staten Island,90.0,90.0,90.0,69.0,49.0,17250000011.0,2500.0,250000.0,St. Andrew's Church Cemetery,Unchanged,78182.6304477,1127.80246291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staten Island
